,Nutr. Units / FU,"Resampled, Randomized Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data Without Resampling or Randomization (original study data, after harmonizing methodology)",,,,,,,,,,,
,,Land Use (m2/nutritional unit),,,,,,"GHG Emissions (kg CO2eq/NU, IPCC 2013 incl CC feedbacks)",,,,,,"GHG Emissions (kg CO2eq/NU, IPCC 2007)",,,,,,"Acidifying Emissions (g SO2eq/NU, CML2 Baseline)",,,,,,"Eutrophying Emissions (g PO43-eq/NU, CML2 Baseline)",,,,,,Freshwater Withdrawals (L/NU),,,,,,Stress-Weighted Water Use (L/NU),,,,,,Land Use (m2/FU),,"GHG (kg CO2eq/FU, IPCC 2013 incl. CC feedbacks)",,"Acid. (kg SO2eq/FU, CML2 Baseline)",,"Eutr. (kg PO43-eq/FU, CML2 Baseline)",,Fresh W. (L/FU),,Strs. W. WU (L/FU),
Product,,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max
Groundnuts,2.6,1.6,1.8,3.5,3.0,5.9,5.9,0.5,0.6,1.2,1.3,2.2,2.3,0.5,0.6,1.2,1.2,2.2,2.3,3.9,4.0,8.6,6.3,21,22,2.2,2.2,5.4,6.5,7.5,8.0,21,265,708,344,"2,492","2,492",908,930,"23,605","16,941","74,536","74,536",1.6,5.9,0.5,2.4,3.5,21.8,1.9,7.5,0,"2,492",0,"74,536"
Soymilk,-,0.3,0.3,0.7,0.6,0.9,1.1,0.5,0.6,1.0,0.9,1.5,1.7,0.5,0.6,1.0,0.9,1.5,1.7,2.1,2.2,2.6,2.5,3.1,3.3,0.5,0.5,1.1,1.2,1.6,1.6,1,1,28,1,146,159,2,2,956,6,"5,301","5,769",0.3,1.7,0.7,1.9,3.2,4.8,0.5,4.3,1,209,1,"19,425"
Tofu,1.6,1.0,1.1,2.2,2.1,3.1,3.7,0.9,1.0,2.0,1.6,3.5,4.5,0.9,1.0,2.0,1.6,3.4,4.5,3.1,3.2,4.2,3.8,5.7,6.2,1.8,1.8,3.9,4.2,5.7,6.5,4,4,93,4,486,540,8,8,"3,196",20,"17,642","19,677",0.9,5.7,1.1,5.0,5.5,10.9,1.8,14.4,4,702,3,"65,272"
Soybean Oil,-,4.8,5.3,11,10,15,17,2.2,2.4,6.3,3.9,13,19,2.2,2.4,6.2,3.8,13,19,11,12,16,15,20,23,2.6,2.6,12,14,20,21,2,2,415,2,"2,245","2,487",3,3,"14,888",8,"81,881","90,941",4.4,135.1,2.2,21.3,11.4,36.2,2.6,61.1,1,"3,294",1,"307,032"
Palm Oil,-,1.4,1.7,2.4,2.4,3.0,3.3,2.8,3.6,7.3,7.2,12,13,2.4,3.4,7.2,7.0,12,13,7.5,15,18,18,22,23,2.0,5.2,11,10,17,17,6,6,6,6,6,7,4,4,36,35,67,67,1.4,4.7,-0.3,14.2,6.8,22.5,1.9,17.1,6,7,4,67
Sunflower Oil,-,7.5,8.4,18,16,27,30,2.2,2.5,3.6,3.5,4.6,4.9,2.2,2.4,3.6,3.5,4.6,4.9,10,11,28,19,61,67,10,12,51,19,176,176,3,3,"1,008",10,"3,841","4,037",2,6,"36,369",237,"158,308","178,519",6.3,70.0,2.1,7.7,8.7,66.3,7.5,175.7,3,"5,977",2,"519,841"
Rapeseed Oil,-,5.0,5.2,11,9.4,19,21,2.2,2.5,3.8,3.5,4.6,7.2,2.2,2.5,3.8,3.5,4.7,7.5,15,15,29,23,50,61,6.4,7.2,19,16,35,56,1,1,238,1,764,778,2,3,"10,594",14,"34,755","35,400",4.7,64.0,2.0,13.6,12.0,190.8,3.3,66.6,1,"12,110",1,"1,044,365"
Olive Oil,-,7.9,7.9,26,17,36,36,2.1,2.9,5.4,5.1,7.6,11,2.1,2.9,5.3,5.0,7.7,11,19,27,38,34,58,62,5.8,17,37,39,56,61,9,9,"2,142",318,"6,908","6,908",130,130,"177,480","24,396","621,152","621,152",5.8,233.3,1.9,20.3,9.8,111.8,3.2,63.7,3,"6,908",130,"621,152"
Tomatoes,-,0.1,0.1,0.8,0.2,0.9,5.6,0.4,0.4,2.1,0.7,6.0,13,0.4,0.4,2.0,0.7,5.2,12,2.9,3.2,17,5.2,68,83,0.6,0.8,7.5,1.9,32,40,33,48,370,77,"1,334","1,994",270,385,"5,336","4,481","8,959","11,842",0.0,13.8,0.2,29.0,2.9,240.6,0.3,116.3,4,"4,542",13,"24,103"
Onions & Leeks,-,0.1,0.1,0.4,0.3,0.6,0.6,0.3,0.3,0.5,0.4,0.8,0.8,0.3,0.3,0.5,0.4,0.8,0.8,2.7,2.8,3.6,3.3,4.9,5.0,1.0,1.5,3.2,1.6,7.5,7.5,1,1,14,2,72,76,48,48,932,57,"5,007","5,222",0.1,1.4,0.2,0.9,2.5,4.8,0.7,7.4,0,75,0,"5,222"
Root Vegetables,-,0.2,0.2,0.3,0.3,0.3,0.5,0.2,0.2,0.4,0.4,0.6,0.6,0.2,0.2,0.4,0.4,0.6,0.6,2.2,2.4,2.9,2.9,3.3,3.4,0.5,0.5,1.6,1.0,2.5,9.3,0,0,28,10,92,93,0,0,929,38,"6,785","6,826",0.2,2.4,0.2,1.5,2.3,4.3,0.5,9.9,0,93,0,"6,816"
