,,Impact / kg Food Balance Sheet functional unit (ex. waste),,,,,,,,,,,,,,,"Food, Waste and Non-Food ('000 t, 2009-11 avg.)",Impact / kg Food Balance Sheet functional unit (ex. waste and non-food allocations),,,
,"Food and Waste ('000 t, 2009-11 avg.)",Land Use (m2),,,"GHG (kg CO2eq, IPCC 2013)",,,,,,,Acid.(kg SO2eq),Eutr. (kg PO43-eq),Freshwater (L),Str-Wt WU (L eq),,,Land Use (m2),,,Freshwater (L)
Product,,Arable,Fallow,Perm Past,LUC,Feed,Farm,Processing,Transport,Packging,Retail,Total,Total,Total,Total,,,Arable,Fallow,Perm Past,Total
Bovine Meat (beef herd),"40,571",20.5,5.1,168.1,16.3,1.9,39.4,1.3,0.3,0.2,0.2,0.189,0.177,871,"21,163",,"40,654",21.7,5.3,173.9,942
Bovine Meat (dairy herd),"31,425",10.1,2.0,13.7,0.9,2.5,15.7,1.1,0.4,0.3,0.2,0.209,0.209,"1,650","75,339",,"31,489",10.7,2.1,14.9,"1,779"
Lamb & Mutton,"14,195",9.3,1.7,212.3,0.5,2.4,19.5,1.1,0.5,0.3,0.2,0.087,0.060,"1,082","85,193",,"14,329",16.5,2.9,348.0,"1,575"
Pig Meat,"112,892",7.9,2.2,0.0,1.5,2.9,1.7,0.3,0.3,0.3,0.2,0.083,0.044,"1,073","40,028",,"113,229",8.2,2.3,0.0,"1,122"
Poultry Meat,"96,439",5.7,1.8,0.0,2.5,1.8,0.7,0.4,0.3,0.2,0.2,0.064,0.030,402,"8,828",,"97,430",5.8,1.8,0.0,409
Milk,"470,267",1.3,0.4,6.3,0.5,0.2,1.5,0.1,0.1,0.1,0.3,0.018,0.009,533,"16,951",,"482,310",1.3,0.4,6.4,520
Cheese,"21,191",12.1,3.7,64.9,4.5,2.3,13.1,0.7,0.1,0.2,0.3,0.149,0.089,"4,735","155,464",,"21,733",11.9,3.6,56.2,"4,646"
Eggs,"63,489",4.7,1.4,0.0,0.7,2.2,1.3,0.0,0.1,0.2,0.0,0.052,0.021,556,"17,315",,"64,219",4.7,1.4,0.0,558
Fish (farmed),"45,223",2.7,0.7,0.0,0.5,0.8,3.6,0.0,0.1,0.1,0.0,0.025,0.092,"1,315","13,691",,"46,744",2.7,0.7,0.0,"1,361"
Crustaceans (farmed),"10,633",1.2,0.2,0.0,0.2,2.5,8.4,0.0,0.2,0.3,0.2,0.060,0.098,"1,394","50,685",,"10,657",1.2,0.2,0.0,"1,416"
,,,,,,,,,,,,,,,,,,,,,
Cereals & Oilcrops Misc.,"97,562",2.2,0.8,0.0,0.2,0.0,0.7,0.2,0.1,0.1,0.0,0.011,0.006,438,"22,262",,"121,607",2.2,0.8,0.0,439
Oils Misc.,"13,404",8.2,1.9,0.0,2.0,0.0,2.0,0.5,0.3,0.9,0.0,0.021,0.020,449,"21,573",,"22,401",8.2,2.0,0.0,448
Sweeteners & Honey,"21,564",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.1,0.0,0.007,0.002,0,0,,"27,425",0.0,0.0,0.0,0
Stimulants & Spices Misc.,"13,269",10.0,2.3,0.0,6.0,0.0,4.9,0.3,0.1,0.7,0.0,0.024,0.032,172,"5,486",,"13,585",9.9,4.8,0.0,166
Animal Fats,"10,599",6.9,2.0,0.0,2.0,2.4,1.2,0.4,0.3,0.3,0.2,0.074,0.037,764,"25,654",,"21,053",7.1,2.1,0.0,794
Buffalo,"6,618",16.0,3.7,100.7,9.6,2.2,29.0,1.2,0.4,0.3,0.2,0.198,0.191,"1,211","44,810",,"6,633",16.9,3.9,104.5,"1,307"
"Butter, Cream & Ghee","12,066",1.3,0.4,6.3,0.5,0.2,1.5,0.1,0.1,0.1,0.3,0.018,0.009,533,"16,951",,"12,194",1.3,0.4,6.4,520
,,,,,,,,,,,,,,,,,,,,,
Fish & Crustaceans (capture),"72,347",0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.1,0.1,0.1,0.041,0.005,4,4,,"74,183",0.0,0.0,0.0,4
Aquatic Plants,"12,385",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0,0,,"19,793",0.0,0.0,0.0,0
,,,,,,,,,,,,,,,,,,,,,
Food Total (M ha; Gg; km3),,969,273,"1,534","2,379,470","1,098,395","7,463,342","604,298","801,404","626,871","394,203","89,032","64,645","2,239","74,309",,,"1,096",320,"1,760",
,,,,,,,,,,,,,,,,,,,,,
FAOSTAT Pasture Area Difference (M ha),,,,"1,361",,,,,,,,,,,,,,,,"1,562",
"FAOSTAT Savanna Burning (Gg CH4, N2O)",,,,,"294,244",,,,,,,,,,,,,,,,
"EDGAR Forest and Grassland Burning (Gg SO2, NH3, NOx)",,,,,,,,,,,,"3,368",643,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Adjusted Total,,"4,137",,,"13,662,226",,,,,,,"92,400","65,288",,,,,,,"4,738","2,427"
,,,,,,,,,,,,,,,,,,,,,
Note: See ref. 129 for definitions of Food Balance Sheet functional units; table S2 for definitions of indicators; ref. 4 for FAOSTAT data; ref. 77 for EDGAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
